dataset_name,description,task_type,domain,tags,source,url,difficulty
Iris,"Classify iris flowers using sepal length, sepal width, petal length and petal width.",Classification,Biology,"flower plant iris multiclass classification",UCI,https://archive.ics.uci.edu/dataset/53/iris,Beginner
Wine Quality,"Predict the quality of red and white wine using physicochemical measurements.",Regression,Food,"wine quality food chemistry regression",UCI,https://archive.ics.uci.edu/dataset/186/wine+quality,Beginner
Breast Cancer Wisconsin,"Classify breast tumors as malignant or benign using medical diagnostic features.",Classification,Healthcare,"cancer tumor diagnosis medical classification",UCI,https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic,Beginner
Adult Income,"Predict whether a person's annual income exceeds fifty thousand dollars.",Classification,Finance,"income salary census binary classification",UCI,https://archive.ics.uci.edu/dataset/2/adult,Intermediate
California Housing,"Predict median house prices using location, population and housing information.",Regression,Real Estate,"housing house price real estate regression",Scikit-learn,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.fetch_california_housing.html,Beginner
Bike Sharing,"Predict the number of rental bicycles using weather, season and time information.",Regression,Transportation,"bike rental demand weather regression",UCI,https://archive.ics.uci.edu/dataset/275/bike+sharing+dataset,Intermediate
Air Quality,"Analyze and predict air pollution levels using environmental sensor measurements.",Regression,Environment,"air pollution environment sensor regression",UCI,https://archive.ics.uci.edu/dataset/360/air+quality,Intermediate
Electricity Load,"Forecast electricity consumption using historical hourly power usage.",Time Series,Energy,"electricity power demand forecasting time series",UCI,https://archive.ics.uci.edu/dataset/321/electricityloaddiagrams20112014,Intermediate
Individual Household Power Consumption,"Forecast household electricity consumption from historical measurements.",Time Series,Energy,"household electricity energy consumption forecasting",UCI,https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption,Intermediate
Heart Disease,"Predict the presence of heart disease using clinical patient information.",Classification,Healthcare,"heart disease patient medical diagnosis classification",UCI,https://archive.ics.uci.edu/dataset/45/heart+disease,Intermediate
Concrete Strength,"Predict concrete compressive strength from material composition and curing age.",Regression,Engineering,"concrete strength construction engineering regression",UCI,https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength,Intermediate
Bank Marketing,"Predict whether a customer will subscribe to a bank term deposit.",Classification,Finance,"bank customer marketing subscription classification",UCI,https://archive.ics.uci.edu/dataset/222/bank+marketing,Intermediate